uic,unit,mcn,act_take_cd,ref_loc_use,ddsn,awp_fg,ref_symb,fail_part_fg,fail_cage,fail_part_no,mal_dscrptn_cd,ty_itm_ind,matl_index,repl_reqd_fg,ovrd_cgpn_fg,ti_crit_fg,ti_maf_fg,proj_cd,scnd_adv_cd,cannib_fg,actl_rcpt_dttm,fail_qty,xref_ind,iss_pri_dsg,ord_dttm,ti_mcn,reqd_cage,reqd_part_no,ovrd_reqd_cgpn_fg,end_itm_rep_fg,reord_xref_ind,ord_otcpn_fg
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B717,N,TUBE,N,99207,5044T97G01,None,C, ,Y,N,N,N,ZQ9, ,N,2025-03-04 16:10:00,1,47,03,2025-02-21 11:17:52.360000, ,99207,5044T97G01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B71E,N,NUT,N,99207,4040T77P01,None,C, ,Y,N,N,N,ZQ9, ,N,1900-01-01 00:00:00,1,48,03,2025-02-21 11:18:05.910000, ,99207,4040T77P01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B716,N,BEARING,N,99207,4040T60G08,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:30:00,1,49,03,2025-02-21 11:17:50.693000, ,99207,4040T60G08,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B71C,N,SHAFT,N,99207,6039T25G01,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:30:00,1,50,03,2025-02-21 11:18:01.546000, ,99207,6039T25G01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B71N,N,INJ,N,99207,4045T30G07,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:58:33.893000,1,51,03,2025-02-21 11:26:32.960000, ,99207,4045T30G07,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B71Q,N,BEARING,N,99207,6044T97P05,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 13:00:00,1,52,03,2025-02-21 11:55:46.003000, ,99207,6044T97P05,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5065B703,N,O-RING,N,99207,NAS617-8,None,C, ,Y,N,N,N,ZQ9, ,N,2025-03-06 13:51:10.446000,1,53,03,2025-03-06 10:55:09.880000, ,99207,NAS617-8,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5065B704,N,REDUCER,N,22995,AN815-8J,None,C, ,Y,N,N,N,ZQ9, ,N,2025-03-07 14:28:00,1,54,03,2025-03-06 10:55:14.443000, ,22995,AN815-8J,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SQ0,None,"NA 19-1-137, WP 010, PG. 12, INDEX #6",4358DL03,N,L HOOK,N,30003,1479AS105-2,None,C, ,Y,N,N,N,BK0, ,N,2025-01-03 08:20:00,1,2,06,2024-12-23 10:08:02.046000, ,30003,1479AS105-2,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SQ0,None,"19-1-137, WP 010, PG 16, INDX # 6",5010DL01,N,L HOOK,N,30003,1479AS105-2,None,C, ,Y,N,N,N,BK0,2B,N,2025-01-16 10:32:00,1,3,06,2025-01-10 09:15:00.956000, ,30003,1479AS105-2,N,N,0,N
